時間,設備,值
2024-10-19 14:13:18,SA-56/LED_LEVEL,1
2024-10-19 14:13:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:13:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:13:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:13:58,SA-56/TEMPERATURE,31.26
2024-10-19 14:14:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:14:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:12,SA-56/TEMPERATURE,31.26
2024-10-19 14:14:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:20,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:50,SA-56/TEMPERATURE,30.32
2024-10-19 14:14:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:14:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:20,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:23,SA-56/LED_LEVEL,0
2024-10-19 14:15:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:24,SA-56/LED_LEVEL,1
2024-10-19 14:15:26,SA-56/LED_LEVEL,2
2024-10-19 14:15:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:15:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:30,SA-56/TEMPERATURE,31.26
2024-10-19 14:16:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:16:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:16,SA-56/TEMPERATURE,31.26
2024-10-19 14:17:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:20,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:17:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:17:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:27,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:30,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:32,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:36,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:52,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:18:56,SA-56/TEMPERATURE,31.26
2024-10-19 14:18:58,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:10,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:16,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:26,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:28,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:32,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:34,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:52,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:54,SA-56/TEMPERATURE,31.26
2024-10-19 14:19:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:19:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:00,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:08,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:10,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:24,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:26,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:28,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:40,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:42,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:52,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:20:56,SA-56/TEMPERATURE,31.26
2024-10-19 14:20:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:00,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:06,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:08,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:12,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:18,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:20,SA-56/TEMPERATURE,31.73
2024-10-19 14:21:22,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:24,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:26,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:28,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:32,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:34,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:36,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:42,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:21:54,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:56,SA-56/TEMPERATURE,31.26
2024-10-19 14:21:58,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:00,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:06,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:08,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:10,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:16,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:20,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:26,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:30,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:32,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:34,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:36,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:40,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:52,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:22:56,SA-56/TEMPERATURE,31.26
2024-10-19 14:22:58,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:08,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:12,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:16,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:28,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:34,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:36,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:38,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:42,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:46,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:48,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:52,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:54,SA-56/TEMPERATURE,31.26
2024-10-19 14:23:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:23:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:00,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:02,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:06,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:08,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:12,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:16,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:20,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:24,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:26,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:32,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:34,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:36,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:39,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:24:50,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:54,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:56,SA-56/TEMPERATURE,30.79
2024-10-19 14:24:58,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:00,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:04,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:06,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:08,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:10,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:12,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:14,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:16,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:20,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:24,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:26,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:28,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:32,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:34,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:36,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:42,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:44,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:52,SA-56/TEMPERATURE,30.79
2024-10-19 14:25:54,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:56,SA-56/TEMPERATURE,31.26
2024-10-19 14:25:58,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:00,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:02,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:04,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:06,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:08,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:10,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:12,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:14,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:16,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:18,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:21,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:22,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:24,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:26,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:28,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:30,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:32,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:34,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:36,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:38,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:40,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:42,SA-56/TEMPERATURE,30.79
2024-10-19 14:26:44,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:46,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:48,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:50,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:52,SA-56/TEMPERATURE,31.26
2024-10-19 14:26:54,SA-56/TEMPERATURE,30.79
